lead_id,created_at,region,source_channel,repair_part,customer_id,sales_id
L001,2024-01-01 10:00:00,华东,线上,屋顶,C001,S001
L002,2024-01-01 11:00:00,华南,线下,卫生间,C002,S002
L003,2024-01-01 12:00:00,华北,线上,地下室,C003,S001
L004,2024-01-01 13:00:00,华东,线下,外墙,C004,S003
L005,2024-01-01 14:00:00,华南,线上,窗户,C005,S002
L006,2024-01-01 15:00:00,华北,线下,屋顶,C006,S001
L007,2024-01-01 16:00:00,华东,线上,卫生间,C007,S003
L008,2024-01-01 17:00:00,华南,线下,地下室,C008,S002
L009,2024-01-01 18:00:00,华北,线上,外墙,C009,S001
L010,2024-01-01 19:00:00,华东,线下,窗户,C010,S003 